Interactie	Interactors	MI
A1CF	ACTBL2	0.08595599
A1CF	ACVR2B	0.07994476
A1CF	AKAP1	0.09057609
A1CF	AMT	0.09600695
A1CF	ANKS1A	0.08590221
A1CF	APPL1	0.12492348
A1CF	ATN1	0.15795847
A1CF	CD28	0.12866719
A1CF	CORO1A	0.17084997
A1CF	CRLS1	0.21582629
A1CF	CTXN1	0.16727492
A1CF	CX3CL1	0.0921589
A1CF	DCDC2	0.08815181
A1CF	DUSP2	0.15085087
A1CF	EQTN	0.11751387
A1CF	FANCD2	0.1043187
A1CF	FER	0.17756414
A1CF	FZD7	0.12684889
A1CF	GOLGA7B	0.14574834
A1CF	HAUS5	0.13790726
A1CF	HES1	0.08025668
A1CF	HIVEP3	0.08254526
A1CF	HYOU1	0.09907827
A1CF	INPP5D	0.08254276
A1CF	KLHL26	0.12183497
A1CF	KRTAP12-2	0.10576755
A1CF	LIF	0.12514037
A1CF	NIPAL4	0.14197354
A1CF	PARP2	0.12357774
A1CF	PLEKHA6	0.22563548
A1CF	SH3GLB2	0.12217771
A1CF	SHANK2	0.13817238
A1CF	TPD52	0.09219639
A1CF	TPD52	0.12923053
A1CF	TRPS1	0.20199846
A1CF	TRUB1	0.14971969
A1CF	TSC22D1	0.10344802
ABCA5	ABCC8	0.19670927
ABCA5	AFDN	0.11041635
ABCA5	BACE1	0.10450354
ABCA5	BTG2	0.12252463
ABCA5	CD8A	0.1375739
ABCA5	COL3A1	0.23486881
ABCA5	CPEB3	0.22129466
ABCA5	DRD3	0.18778519
ABCA5	EDAR	0.19680787
ABCA5	EDC4	0.10148671
ABCA5	MTG2	0.1260778
ABCA5	PRICKLE2	0.07847439
ABCA5	TNC	0.16873057
ABCA5	TPD52	0.1191461
ABCA5	WDR62	0.2061494
ABCB8	FAM170A	0.18293891
ABHD17C	SIX5	0.2541504
