Interactie	Interactors	MI
A1CF	ABCA5	0.12357774
A1CF	ABCD4	0.08595599
A1CF	ABHD17C	0.16727492
A1CF	ACKR3	0.08590221
A1CF	ACSS3	0.09219639
A1CF	ACTBL2	0.07847439
A1CF	ADAMTSL1	0.12684889
A1CF	ADM	0.09907827
A1CF	AMOTL2	0.15085087
A1CF	AMT	0.12514037
A1CF	AP3B2	0.07994476
A1CF	ASB8	0.08254276
A1CF	B4GALT1	0.12252463
A1CF	CCDC90B	0.10344802
A1CF	COL3A1	0.08254526
A1CF	CORO1A	0.12866719
A1CF	CPEB3	0.0921589
A1CF	CSPP1	0.12923053
A1CF	CTXN1	0.08025668
A1CF	CX3CL1	0.11751387
A1CF	EDAR	0.19670927
A1CF	EPAS1	0.1043187
A1CF	EPB41L3	0.11041635
A1CF	EPHB1	0.1375739
A1CF	FBXW2	0.21582629
A1CF	HAUS5	0.09057609
A1CF	HES1	0.12492348
A1CF	KCNS3	0.10450354
A1CF	MYO10	0.2061494
A1CF	NEO1	0.15795847
A1CF	PIGA	0.09600695
A1CF	PMM2	0.17756414
A1CF	RNF34	0.18778519
A1CF	SECTM1	0.22563548
A1CF	SNAPC4	0.17084997
A1CF	TUBGCP3	0.1260778
A1CF	WIZ	0.14574834
A1CF	ZNF181	0.12183497
A1CF	ZNF560	0.08815181
ABCA5	ABCD4	0.12217771
ABCA5	APPL1	0.10148671
ABCA5	CCDC90B	0.23486881
ABCA5	COL3A1	0.19680787
ABCA5	CSPP1	0.16873057
ABCA5	EPAS1	0.20199846
ABCA5	HES1	0.22129466
ABCA5	PXDC1	0.14197354
ABCA5	RNF34	0.14971969
ABCA5	SIX5	0.1191461
ABCA5	ZNF512	0.13790726
ABCB8	PPM1E	0.13817238
ABCB8	TMEM2	0.18293891
ABCC8	CBX6	0.10576755
ABCC8	CMTM4	0.2541504
