Interactie	Interactors	MI
A1CF	ABCA5	0.16727492
A1CF	ABCB8	0.09057609
A1CF	ABCC8	0.08590221
A1CF	ABCD4	0.08815181
A1CF	ACKR3	0.12217771
A1CF	ACVR2B	0.09907827
A1CF	AKAP12	0.12492348
A1CF	AMT	0.09219639
A1CF	ANKRD36B	0.08254526
A1CF	ANKS1A	0.08254276
A1CF	APPL1	0.14197354
A1CF	BRF1	0.16873057
A1CF	C9orf72	0.13790726
A1CF	CAMK2A	0.10576755
A1CF	CASTOR2	0.12866719
A1CF	CCDC90B	0.1375739
A1CF	CD8A	0.11751387
A1CF	CD8A	0.12514037
A1CF	COL3A1	0.12252463
A1CF	CTXN1	0.10344802
A1CF	DENND2D	0.17756414
A1CF	DSCC1	0.08595599
A1CF	EDC4	0.12183497
A1CF	EPM2AIP1	0.08025668
A1CF	GLUD1	0.22563548
A1CF	HLA-G	0.18778519
A1CF	HOXC6	0.13817238
A1CF	INPP5D	0.21582629
A1CF	KCNS3	0.07847439
A1CF	KIAA0586	0.10148671
A1CF	LIF	0.19670927
A1CF	PARP2	0.1260778
A1CF	PDK1	0.12357774
A1CF	PLEKHA2	0.10450354
A1CF	RAB3A	0.0921589
A1CF	RCHY1	0.14574834
A1CF	SHANK2	0.17084997
A1CF	SHTN1	0.20199846
A1CF	SLC30A1	0.1191461
A1CF	SLC34A1	0.12684889
A1CF	SNAPC4	0.09600695
A1CF	SRBD1	0.2541504
A1CF	TPD52	0.07994476
A1CF	ZNF512	0.15795847
A1CF	ZNF516	0.1043187
ABCA5	ATN1	0.15085087
ABCA5	DSCC1	0.12923053
ABCA5	HLA-G	0.2061494
ABCA5	JAZF1	0.14971969
ABCB8	ACKR3	0.23486881
ABCB8	CCDC90B	0.19680787
ABCC8	SH3GLB2	0.11041635
ABCC8	SNAPC4	0.22129466
ABCD4	TUBGCP3	0.18293891
