Interactie,Interactors,MI
A1CF,ABCA5,0.12357774
A1CF,ABCD4,0.08595599
A1CF,ABHD17C,0.16727492
A1CF,ACKR3,0.08590221
A1CF,ACSS3,0.09219639
A1CF,ACTBL2,0.07847439
A1CF,ACVR2B,0.08590221
A1CF,ADAMTSL1,0.12684889
A1CF,ADM,0.09907827
A1CF,AKT1S1,0.08590221
A1CF,AMOTL2,0.15085087
A1CF,AMT,0.12514037
A1CF,AP3B2,0.07994476
A1CF,APOL3,0.07994476
A1CF,ASB8,0.08254276
A1CF,ATN1,0.12514037
A1CF,B4GALT1,0.12252463
A1CF,CCDC90B,0.10344802
A1CF,COL3A1,0.08254526
A1CF,CORO1A,0.12866719
A1CF,CPEB3,0.0921589
A1CF,CSPP1,0.12923053
A1CF,CTXN1,0.08025668
A1CF,CX3CL1,0.11751387
A1CF,CXCR1,0.07994476
A1CF,CYFIP2,0.0921589
A1CF,DCDC2,0.08595599
A1CF,DRD3,0.08025668
A1CF,DUSP2,0.12866719
A1CF,DUSP3,0.16727492
A1CF,EDAR,0.19670927
A1CF,ENPP3,0.09219639
A1CF,EPAS1,0.1043187
A1CF,EPB41L3,0.11041635
A1CF,EPHB1,0.1375739
A1CF,EPM2AIP1,0.1043187
A1CF,EPM2AIP1,0.08595599
A1CF,EQTN,0.09907827
A1CF,ETF1,0.12252463
A1CF,F3,0.08254276
A1CF,FBXW2,0.21582629
A1CF,FJX1,0.15085087
A1CF,HAUS5,0.09057609
A1CF,HES1,0.12492348
A1CF,HIVEP3,0.1043187
A1CF,IP6K1,0.08595599
A1CF,KCNS3,0.10450354
A1CF,KDM5A,0.1375739
A1CF,KIFC3,0.12514037
A1CF,KLHL26,0.08595599
A1CF,KMT2D,0.10450354
A1CF,KRTAP12-2,0.09057609
A1CF,LIF,0.12514037
A1CF,MTG2,0.12866719
A1CF,MYO10,0.2061494
A1CF,NEO1,0.15795847
A1CF,NUDT6,0.10450354
A1CF,PIGA,0.09600695
A1CF,PLEKHA2,0.12252463
A1CF,PMM2,0.17756414
A1CF,PRICKLE2,0.08254276
A1CF,PSPC1,0.09219639
A1CF,RCHY1,0.16727492
A1CF,RNF34,0.18778519
A1CF,RRNAD1,0.08254526
A1CF,SCARA5,0.07847439
A1CF,SECTM1,0.22563548
A1CF,SERPINE1,0.1375739
A1CF,SHPRH,0.08025668
A1CF,SHTN1,0.07847439
A1CF,SLC15A1,0.2061494
A1CF,SMCO4,0.22563548
A1CF,SNAPC4,0.17084997
A1CF,SORBS1,0.08025668
A1CF,SRC,0.12492348
A1CF,STAG3,0.19670927
A1CF,TACC2,0.07994476
A1CF,TLR4,0.11041635
A1CF,TMEM53,0.0921589
A1CF,TPD52,0.07994476
A1CF,TRIM10,0.10450354
A1CF,TUBGCP3,0.1260778
A1CF,WIZ,0.14574834
A1CF,XPO1,0.08595599
A1CF,ZFPM1,0.16727492
A1CF,ZNF181,0.12183497
A1CF,ZNF560,0.08815181
ABCA5,A1CF,0.12357774
ABCA5,ABCD4,0.12217771
ABCA5,ADAMTSL1,0.12492348
ABCA5,AMOTL2,0.11751387
ABCA5,AMT,0.1375739
ABCA5,ANKRD36B,0.11751387
ABCA5,ANKRD44,0.09219639
ABCA5,AP3B2,0.10450354
ABCA5,APBB2,0.09219639
ABCA5,APOL3,0.17084997
ABCA5,APPL1,0.10148671
ABCA5,ATN1,0.19670927
ABCA5,CCDC90B,0.23486881
ABCA5,CDC20B,0.09057609
ABCA5,CLEC5A,0.08025668
ABCA5,COL3A1,0.19680787
ABCA5,CORO1A,0.08595599
ABCA5,CRLS1,0.14574834
ABCA5,CSPP1,0.16873057
ABCA5,CYFIP2,0.09600695
ABCA5,DENND2D,0.09219639
ABCA5,ENPP3,0.09057609
ABCA5,EPAS1,0.20199846
ABCA5,EPB41L3,0.16727492
ABCA5,EPM2AIP1,0.10344802
ABCA5,EPM2AIP1,0.08815181
ABCA5,ETF1,0.14574834
ABCA5,FANCD2,0.08025668
ABCA5,FBXW2,0.1043187
ABCA5,FJX1,0.08025668
ABCA5,GOLGA7B,0.17084997
ABCA5,HES1,0.17084997
ABCA5,HES1,0.22129466
ABCA5,HIVEP3,0.21582629
ABCA5,HOXB13,0.09600695
ABCA5,INMT,0.08254276
ABCA5,INPP5D,0.12866719
ABCA5,IPPK,0.07994476
ABCA5,JAZF1,0.08254526
ABCA5,KCNJ5,0.19670927
ABCA5,KCNS3,0.11751387
