Interactie,Interactors,MI
A1CF,ABCC8,0.11751387
A1CF,ABCD4,0.09057609
A1CF,ABHD17C,0.17756414
A1CF,ACSS3,0.10450354
A1CF,ACTBL2,0.12866719
A1CF,ADAMTSL1,0.07994476
A1CF,ADM,0.1260778
A1CF,AFDN,0.1043187
A1CF,AKAP12,0.15085087
A1CF,AMT,0.12357774
A1CF,ANKRD36B,0.10450354
A1CF,ANKRD44,0.10450354
A1CF,AP3B2,0.14574834
A1CF,APOL3,0.21582629
A1CF,ATN1,0.12684889
A1CF,BCL7A,0.11041635
A1CF,BTG2,0.11751387
A1CF,C9orf72,0.14574834
A1CF,CAMK2A,0.08025668
A1CF,CASTOR2,0.17756414
A1CF,CBX6,0.10450354
A1CF,CCNJL,0.19680787
A1CF,CD28,0.16873057
A1CF,CD8A,0.11041635
A1CF,CLEC5A,0.11751387
A1CF,COLCA1,0.12866719
A1CF,CPEB3,0.09057609
A1CF,CRLS1,0.0921589
A1CF,CSPP1,0.12183497
A1CF,CTXN1,0.1260778
A1CF,CX3CL1,0.1043187
A1CF,CXCR1,0.11751387
A1CF,DCDC2,0.09600695
A1CF,DRD3,0.12252463
A1CF,DUSP2,0.12183497
A1CF,DUSP3,0.19670927
A1CF,EDC4,0.11751387
A1CF,EPB41L3,0.12866719
A1CF,EQTN,0.1043187
A1CF,FAM161B,0.08815181
A1CF,FER,0.1191461
A1CF,FJX1,0.11751387
A1CF,FZD7,0.10450354
A1CF,GLUD1,0.07847439
A1CF,GOLGA7B,0.1375739
A1CF,HIVEP3,0.11751387
A1CF,HOXC6,0.15085087
A1CF,HYKK,0.16873057
A1CF,ICAM4,0.16873057
A1CF,INMT,0.15085087
A1CF,INPP5D,0.1375739
A1CF,IP6K1,0.07994476
A1CF,JAZF1,0.15085087
A1CF,KCNJ5,0.14574834
A1CF,KDM4B,0.20199846
A1CF,KDM5A,0.12514037
A1CF,KIAA0586,0.13790726
A1CF,KLF11,0.12217771
A1CF,LCMT2,0.1191461
A1CF,LDB3,0.18293891
A1CF,MYO10,0.08025668
A1CF,NAIP,0.09600695
A1CF,NIPAL4,0.1260778
A1CF,NUDT14,0.10576755
A1CF,NUDT6,0.17756414
A1CF,P2RX2,0.17756414
A1CF,PARP2,0.09600695
A1CF,PIGA,0.17756414
A1CF,PLEKHA2,0.07847439
A1CF,PLEKHA6,0.12357774
A1CF,PMEPA1,0.07994476
A1CF,PSPC1,0.09907827
A1CF,PXDC1,0.1375739
A1CF,RAB3A,0.09219639
A1CF,RCHY1,0.19670927
A1CF,RNF34,0.22563548
A1CF,SAV1,0.11751387
A1CF,SCARA5,0.16873057
A1CF,SH3GLB2,0.08025668
A1CF,SHPRH,0.14197354
A1CF,SHTN1,0.12923053
A1CF,SLC34A1,0.14971969
A1CF,SMCO4,0.1260778
A1CF,SMYD4,0.07847439
A1CF,SNAPC4,0.14971969
A1CF,SORBS1,0.18778519
A1CF,SPEN,0.12514037
A1CF,SRBD1,0.13790726
A1CF,SUSD6,0.12514037
A1CF,TACC2,0.12217771
A1CF,TCN2,0.12183497
A1CF,TLR4,0.08590221
A1CF,TMEM170B,0.17084997
A1CF,TMEM25,0.14574834
A1CF,TNC,0.22129466
A1CF,TPD52,0.23486881
A1CF,TPP1,0.15085087
A1CF,TRIM10,0.1043187
A1CF,TSC22D1,0.09600695
A1CF,TXNIP,0.1375739
A1CF,VSTM1,0.17756414
A1CF,WBSCR17,0.1260778
A1CF,WIZ,0.14197354
A1CF,XPO1,0.1191461
A1CF,ZFPM1,0.17756414
