ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.791781074	2.7006982794	2.7294118605	3.0143084213	2.8559857544	2.7056570428
11736238_a_at	ABCA5	4.7951269361	4.8946934013	4.8182451099	4.6504103412	4.5829449508	4.9288669904
11724734_at	ABCB8	3.0001351127	3.0386504572	3.1689316655	3.1054132653	2.8894564928	3.1540432089
11723976_at	ABCC8	3.5029409836	3.4199054533	3.1584350922	3.2094750981	3.1818398755	3.1674448642
11718612_a_at	ABCD4	4.9566565615	4.9471554779	4.9790674456	4.8002617682	4.7962431825	4.967260631
11758217_s_at	ABHD17C	7.9939137512	7.9461740095	8.0321787864	8.034706389	8.0514497064	7.9624132374
11744541_a_at	ACKR3	2.4390699169	2.4362427316	2.4816206861	2.6678250189	2.2540127981	2.4320082913
11730931_at	ACSS3	2.1460547143	2.5702904226	2.2766671329	2.2095220758	2.0171162791	2.1605681019
11738454_at	ACTBL2	2.560099471	2.2426003742	2.5130778648	2.3136818033	2.403270598	2.6099378499
11727682_at	ACVR2B	3.5055319421	4.1972657374	3.3969938201	3.7187517504	3.5409529337	3.5171628887
11733762_a_at	ADAMTSL1	3.1762361931	3.1413787487	3.0841004385	2.9802014097	3.3962391012	3.1137970634
11756406_x_at	ADM	10.9276588405	10.8873567203	10.9471306209	10.9429185718	10.9648747349	10.9939507582
11743232_a_at	AFDN	2.8101323596	2.693508626	2.8881188416	2.4227261382	2.3730921986	2.5443393473
11743984_a_at	AKAP1	4.6720392078	4.5339185641	4.1793109151	4.7976655776	4.3721949531	4.4897907834
11723804_a_at	AKAP12	8.5514682913	8.4322259338	8.551711945	8.5655377146	8.4969069442	8.4198070636
11716720_a_at	AKT1S1	3.83828579	4.044386637	3.9107249912	3.9893306564	3.9455090778	4.1001944318
11733006_at	AMOTL2	4.9291826866	4.8424832076	4.9886504305	5.1356909531	5.0225113102	5.2256971293
11719576_s_at	AMT	3.1827834149	3.1437679813	3.2864072997	2.9632428886	3.0092426046	3.3414935169
11719577_a_at	AMT	4.182166231	4.4112112004	4.4218064931	4.3133738004	3.9997172842	4.4207151552
11755899_x_at	ANKRD36B	4.0109531127	4.2338317589	3.751014107	4.0220935883	4.0588526773	4.1094860048
11755987_a_at	ANKRD44	2.0505430468	2.37555467	2.4997016924	1.9373889155	2.6572560756	2.1964892752
11756425_a_at	ANKS1A	3.2952274764	3.1395557527	3.4844895754	3.4116621557	3.2289629152	3.4990925646
11727683_a_at	AP3B2	2.2247864722	2.4346906786	2.0016354539	2.2214150987	1.9965058851	2.1566255836
11734819_s_at	APBB2	5.5512092356	5.5531109916	5.5624037619	5.6946254682	5.6597678042	5.6123924792
11723975_x_at	APOL3	4.1223025896	4.4327844191	4.2927422012	4.2180527541	4.3652030376	4.0677943092
11722736_s_at	APPL1	6.3000209473	6.3541751708	6.2775790424	6.2331267729	5.9314503161	6.1321827749
11733928_a_at	ARMC8	4.0764529472	3.9045256927	4.1591542812	3.906624723	4.0166080696	3.9720743683
11751585_a_at	ASB8	6.2377625159	6.4016426224	6.4972880795	6.325190238	6.4161051572	6.3329224924
11716966_a_at	ATN1	3.5564400971	3.1424186441	3.4078085053	3.7783989162	3.0553820991	3.3662506256
11716154_x_at	B4GALT1	4.9380521762	4.9929077814	4.8234797489	4.7262196506	4.7769741369	4.8005301502
11753657_a_at	BACE1	4.1123281807	4.1492786103	4.1839479495	4.3483322693	3.5667294517	3.9470262207
11719907_a_at	BCL7A	2.9852177052	3.236242411	3.2365527994	2.9490095221	3.0409685069	3.0926525917
11753436_a_at	BRF1	3.3078420098	3.5857705652	3.540022764	3.2954993911	3.5015130601	3.5986399551
11715613_a_at	BTG2	3.290689119	3.1783307144	3.1308251572	3.402435373	3.022850614	3.127668698
11720531_at	C9orf72	4.4277745466	4.4891270293	4.728092413	4.2711423424	4.234577431	4.3138737094
11725936_a_at	CAMK2A	2.2100106062	2.6350156203	2.395300551	2.4484376639	2.4695011086	2.4360133998
11758321_s_at	CASTOR2	3.1685867996	2.8624141685	3.0410470033	3.0887015226	2.8963712686	3.1107169569
11720081_a_at	CBX6	3.351349476	3.5455338042	3.2265473252	3.1792130604	2.9712619314	3.3768638575
11744695_a_at	CCDC90B	8.308384519	8.1841887347	8.2340759647	8.1905140637	8.1124682052	8.0972358206
11748789_a_at	CCNJL	3.0625904911	3.2210490766	2.7966096648	3.1126923335	2.9348037777	2.9290726699
11733978_a_at	CD28	2.3245767238	2.0927595389	2.0573076112	2.0919155534	1.9757511269	2.327582978
11724728_a_at	CD8A	2.4849942506	2.396197406	2.4268862101	2.8161357829	2.6016955726	2.6556025929
11724729_a_at	CD8A	2.3871565379	2.696849395	2.1961202959	2.6037709558	2.307250344	2.1909530499
11742224_a_at	CDC20B	2.4147915752	2.5388479305	2.4692548497	2.4912622845	2.5634349481	2.5992196056
11756837_a_at	CLEC5A	2.4176499436	2.1463791537	2.1167077831	2.6181904904	2.2125295214	2.4903859116
11718178_a_at	CMTM4	5.7115861917	6.0370561099	6.0199567315	5.8476596005	5.8057589942	5.9411662358
11715414_x_at	COL3A1	8.2301585164	7.8072496351	8.0883123276	8.0905375112	7.9975119031	8.1789023339
11721705_at	COL7A1	8.0885182835	8.1079733992	8.1921338022	7.9529133598	8.1412941502	8.0905489292
11758474_s_at	COLCA1	2.1120634841	2.0527779786	2.0839004554	2.1439180736	2.0344344908	2.3734575278
11754666_a_at	CORO1A	4.5365084308	4.9302711075	4.9222927458	4.7509527739	4.8222142574	4.6236193612
11740000_a_at	CPEB3	3.9733510927	3.6169897018	3.9695976652	3.8621950407	3.9338810897	3.5932720025
