ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.9123548998	2.6969984449	2.585829922	2.6873771712	2.4781649639	3.0168264295
11736238_a_at	ABCA5	4.6610127909	4.4481462614	4.5862404488	4.2193705191	4.5030538896	4.9744202537
11724734_at	ABCB8	3.0505553006	3.1454102787	3.2812591645	3.0566000581	2.9827414845	3.116407725
11723976_at	ABCC8	3.5802914117	3.2948629089	3.4706268294	3.376837454	3.4295979034	3.3086119073
11718612_a_at	ABCD4	4.9640176342	4.8998331946	4.882255776	4.7572829298	5.0406175679	5.3744844003
11758217_s_at	ABHD17C	7.9967777576	8.0242188824	8.0780867361	8.1279000081	8.1314853876	8.0508346601
11744541_a_at	ACKR3	2.5274024161	2.5683138803	2.5117643412	2.269289653	2.2501992805	2.3741019853
11730931_at	ACSS3	2.5029192406	2.4644546774	2.2453626531	2.3255632575	1.9145564853	2.2403408502
11738454_at	ACTBL2	2.4239403321	2.3771341863	2.2851618078	2.455323867	2.5335836146	2.2913836917
11727682_at	ACVR2B	4.0215667802	4.0866710809	3.8627498416	3.6666447624	3.6002873269	3.7599188089
11733762_a_at	ADAMTSL1	2.9425262271	2.9421775476	3.3780229934	2.9000148509	3.3949848734	3.1691814579
11756406_x_at	ADM	11.0500747584	11.062095263	11.113019369	11.1090986837	11.1187511936	11.1777188002
11743232_a_at	AFDN	2.7612538346	2.4183663852	3.0542559108	2.4941237341	2.5472039317	2.4532744924
11743984_a_at	AKAP1	4.5418177404	4.5394521731	4.2555986411	4.4538945684	4.5189991182	4.4175891723
11723804_a_at	AKAP12	8.285453465	8.343150153	8.2959751659	8.2026946632	8.3586978437	8.4450918619
11716720_a_at	AKT1S1	4.1211135743	4.0135523835	4.1287006215	4.1724190489	4.0597401855	3.8093295559
11733006_at	AMOTL2	4.7344495996	4.4843806125	4.6941437961	4.7037723016	4.4797788211	4.7176605508
11719576_s_at	AMT	3.5631181601	3.4208182262	3.3075108591	3.1010018353	3.6687978915	3.0647975729
