ProbeID	GeneSymbol	1	2	3	4	5	6
11746909_a_at	A1CF	2.7740698043	2.5759091495	2.9813284098	2.9138719812	2.6611830637	2.6271867789
11736238_a_at	ABCA5	4.8112222908	4.7725199224	4.6335201626	4.6408442408	4.8551984305	4.5199484195
11724734_at	ABCB8	2.7652832579	2.8620035865	2.7539348056	3.0293556881	3.2387463974	3.0481905412
11723976_at	ABCC8	3.3932885598	3.6486289834	3.2228177764	3.5311356898	3.4613933466	3.3126371223
11718612_a_at	ABCD4	5.04100001	4.9820111997	5.0943704487	5.0292378391	4.9206183011	5.1263852951
11758217_s_at	ABHD17C	8.0506121977	7.9099374598	7.8622802722	8.0306339233	8.1641236389	8.0138669229
11744541_a_at	ACKR3	2.4214091258	2.8946127314	2.5292154292	2.7284764122	2.6377529783	2.5445977182
11730931_at	ACSS3	2.3559930736	2.4190060217	2.3977955461	2.2870646419	2.6633726023	2.0756454074
11738454_at	ACTBL2	2.5062194969	2.444420282	2.5112742067	2.2553497192	2.3699751814	2.3765199652
11727682_at	ACVR2B	3.5539331712	3.6048847787	3.5058514823	3.8055520464	3.8478451531	4.0591888534
11733762_a_at	ADAMTSL1	3.273117969	2.7995674122	3.3732351842	3.4294070401	3.0371750271	3.0723977847
11756406_x_at	ADM	11.1834052833	11.0997464214	11.1867938948	11.1548640335	11.2037381303	11.1329723395
11743232_a_at	AFDN	2.9076412689	2.9394182959	2.3452403803	2.6804298768	2.3956890049	2.4690288647
11743984_a_at	AKAP1	4.6995769401	4.343731652	4.4083555606	4.7791590789	4.2778560198	4.4478459511
11723804_a_at	AKAP12	8.3122273519	8.5203309653	8.5520141114	8.2990137669	8.4266677555	8.3065515582
11716720_a_at	AKT1S1	4.0515573205	3.9474322617	4.1637537629	3.8802670796	4.0269961077	4.0608121114
11733006_at	AMOTL2	4.5955725716	4.779642639	4.7639809876	4.8768753483	4.5237573813	4.7466139717
11719576_s_at	AMT	3.3404477702	3.1556741075	3.147960659	3.1545446503	3.2136752779	2.9645191534
11719577_a_at	AMT	4.1654406453	4.014598446	4.1961814404	4.0266856617	4.3702302628	4.4917344561
11755899_x_at	ANKRD36B	4.6101712237	4.0875151529	4.2841939206	4.2017195412	4.1774598009	4.3364613745
11755987_a_at	ANKRD44	2.4320897919	2.0173807408	2.5295110383	2.3179307465	2.3135931424	2.2395296276
11756425_a_at	ANKS1A	3.3783544179	2.9631409644	3.4338385655	3.1108235243	3.7947356417	3.2637176503
11727683_a_at	AP3B2	2.2825237878	2.226320311	2.1307866939	2.4076399671	2.1625720309	2.1663311164
11734819_s_at	APBB2	5.3959328239	5.7620627082	5.4323879646	5.5277275192	5.5283606648	5.6519139863
11723975_x_at	APOL3	4.4411537943	4.1093755084	4.4616884537	3.6922063194	3.8941277535	4.4072987099
11722736_s_at	APPL1	6.2379873691	6.258530573	6.2522380489	6.4177248798	6.2876735409	5.8519688749
11733928_a_at	ARMC8	4.0902364323	3.8335525123	3.9092727669	4.0192097475	4.0567788886	3.9247854297
11751585_a_at	ASB8	6.499434119	6.4434497205	6.5012330701	6.4317359362	6.3924791791	6.3963493467
11716966_a_at	ATN1	3.4440111595	3.4050502035	3.6520004543	3.757814218	3.7842742117	3.5288438459
11716154_x_at	B4GALT1	4.9131031255	4.7834140354	4.9529849211	4.8942370473	5.0279545334	4.9808170204
11753657_a_at	BACE1	3.7708266003	3.8525503453	4.0348523108	3.9337545523	4.0803495964	3.928729554
11719907_a_at	BCL7A	2.9518023241	3.2032996638	3.226507637	2.8712625304	3.5739035142	3.202532239
11753436_a_at	BRF1	3.5360160444	3.0460736477	3.3524041304	3.5294152475	3.7573173924	3.0637040709
11715613_a_at	BTG2	3.344928308	3.4624928265	3.6962222826	3.7745841024	3.5403587934	3.5882938734
11720531_at	C9orf72	4.465392938	4.2223366627	4.0955800638	4.1751118819	4.1010838121	4.274389702
11725936_a_at	CAMK2A	2.5187747781	2.4043668967	2.5548037758	2.6490690975	2.4612897801	2.1800401327
11758321_s_at	CASTOR2	3.1849064544	2.9921186999	3.1728939228	3.1709091177	2.9334797922	3.2198803175
11720081_a_at	CBX6	3.227202619	3.0339504435	3.4449706651	2.9921222397	2.988860572	2.9612731143
11744695_a_at	CCDC90B	8.3366394645	8.0277588735	8.1168836449	8.1837553937	7.9070333026	8.1257090499
11748789_a_at	CCNJL	3.1437337263	3.088426368	3.1955326495	2.9905748052	3.0597430283	3.2917953333
11733978_a_at	CD28	2.3318577946	2.090612891	2.0800669371	2.1686715523	2.0076961045	2.3080757952
11724728_a_at	CD8A	2.5946952915	2.6610309743	2.5097205951	2.585612758	2.4128773843	2.681525524
