ProbeID,GeneSymbol,TGFb_120_6,TGFb_15_3,TGFb_150_5,Control_30_3,TGFb_15_6,Control_90_3,Control_90_5,TGFb_150_6,TGFb_60_3,Control_180_6,none_180_3,Control_60_1,TGFb_90_5,Control_60_5,Control_30_5,TGFb_90_4,TGFb_150_3,TGFb_180_5,none_0_5,none_180_4,TGFb_30_3,Control_180_2,Control_15_4,Control_120_1,Control_15_1,TGFb_30_4,none_180_2,Control_150_2,Control_180_4,Control_120_6,TGFb_60_1,TGFb_60_2,TGFb_120_3,none_0_6,TGFb_90_2,Control_150_5,TGFb_180_1,Control_150_1,Control_60_2,TGFb_15_2,Control_90_4,TGFb_60_5,TGFb_120_5,Control_30_2,Control_180_3,TGFb_120_1,Control_30_1,none_0_1,TGFb_150_2,Control_120_5,TGFb_15_5,none_0_4,Control_120_2,none_180_5,Control_30_4,Control_60_4,Control_15_5,TGFb_30_1,TGFb_180_3,TGFb_90_1,Control_60_3,TGFb_180_6,Control_120_3,TGFb_180_2,none_0_3,Control_15_6,TGFb_15_4,Control_90_1,Control_90_2,TGFb_150_4,Control_150_4,TGFb_30_2,none_180_6,Control_90_6,TGFb_180_4,TGFb_120_4,TGFb_30_5,Control_150_3,Control_180_5,TGFb_120_2,Control_150_6,Control_15_3,TGFb_60_6,TGFb_15_1,Control_30_6,none_0_2,TGFb_90_6,Control_60_6,TGFb_60_4,TGFb_30_6,TGFb_150_1,Control_15_2,none_180_1,TGFb_90_3,Control_120_4,Control_180_1
11746909_a_at,A1CF,3.0440138747,2.9813284098,2.5713482787,2.6127470106,2.6271867789,2.820090393,2.8082019776,3.1360869301,2.6437833376,2.7138690469,2.5717870112,2.791781074,2.6824507769,2.8559857544,2.5882353437,2.6518922134,2.7321145954,2.6754010533,2.4781649639,2.6108506091,2.6645249084,3.2254241369,2.6873765743,2.7265847569,3.0208586892,2.6110085126,2.7132870934,2.5688015001,2.5706035853,2.7599208605,2.2936979399,2.5427941609,2.6976611568,3.0168264295,2.751759621,2.813021596,2.5831112151,2.5827664355,2.7006982794,2.5759091495,2.6677789296,2.5674799534,3.0524461875,3.0697270072,2.5814306941,2.5343608164,2.5329155544,2.9123548998,3.1061091086,2.4791047786,2.6611830637,2.6873771712,2.5719419753,2.7617594619,2.8418068005,3.0143084213,2.4642180653,2.842879732,2.5752767164,2.7732345692,2.7294118605,2.4968956597,2.9762805121,2.7642601876,2.585829922,2.8186925544,2.9138719812,2.9182815513,2.8322883079,3.0988936287,2.7384121224,2.8511242708,2.8925980803,2.7216462333,2.834834224,2.4194264142,2.6181037065,2.717998813,2.634072636,2.4913710492,3.119294702,2.7895190081,2.8858655819,2.7740698043,2.8112261322,2.6969984449,2.6411434957,2.7056570428,2.7027241904,2.6526377213,3.1821458885,2.6092311074,2.8668599323,3.1479784845,2.7467865484,3.2687879878
11736238_a_at,ABCA5,4.6026227186,4.6335201626,4.573122638,4.641539319,4.5199484195,4.4370094233,4.2543109411,4.369077039,4.8634576447,4.7519801751,4.7995825139,4.7951269361,4.5699096561,4.5829449508,4.5686049173,4.5651071406,4.4821912507,4.2787194154,4.5030538896,4.740495277,4.630587335,4.4437084281,4.708297566,4.7248197174,4.5750281551,4.9301782378,4.6995667548,4.680848459,4.5983078371,4.4826192159,4.771066649,4.7149965625,4.4833915331,4.9744202537,4.4160433338,4.6243691683,4.0754786726,4.5775848786,4.8946934013,4.7725199224,4.4682888362,4.5496216592,4.5979416826,4.3735733612,4.6250043145,4.6458893398,4.4572937443,4.6610127909,4.688815654,4.5426061866,4.8551984305,4.2193705191,4.5531057197,4.5521013824,4.747364596,4.6504103412,4.6288415445,4.5242661824,4.4399324382,4.8255544658,4.8182451099,4.273217549,4.6708870319,4.5554237689,4.5862404488,4.6697247226,4.6408442408,4.4299879486,4.5725655566,3.8233430627,4.5550919059,4.7406947714,4.4241557038,4.5162396932,4.2454374215,4.4596604088,4.7695289859,4.4400464275,4.5891234972,4.4592413391,4.5465509557,4.67256663,4.602315639,4.8112222908,4.6096771582,4.4481462614,4.8462431364,4.9288669904,4.6631069009,4.8334932566,4.4728940218,4.5894442314,4.1270327274,4.7182311134,4.9433460771,4.4121188097
11724734_at,ABCB8,3.0950784874,2.7539348056,2.9525206572,3.1802241049,3.0481905412,3.1846567372,2.6671101693,3.1045163005,3.1844283796,3.46770634,2.9394118886,3.0001351127,3.0368237787,2.8894564928,2.858514454,3.2297421498,3.1060431248,3.1885058266,2.9827414845,3.1775239596,3.5998722304,2.9014976678,2.9816921154,3.0674790086,3.041221026,3.0753553688,2.9609551218,3.296662726,2.916577226,3.3227028284,2.8179891105,2.8652604598,2.8915898122,3.116407725,3.0690564269,3.0632129201,2.7644813592,2.7129337083,3.0386504572,2.8620035865,2.9823052813,3.0124564246,3.0331256994,3.125788795,3.1881685882,3.0643609937,3.1380040019,3.0505553006,3.3205581667,2.9023045385,3.2387463974,3.0566000581,3.3270181922,2.846181506,2.9792052187,3.1054132653,3.0510723355,2.9828603974,3.0320222694,2.9663024684,3.1689316655,3.0540642081,2.8720388841,3.0097178833,3.2812591645,2.8967290725,3.0293556881,2.9093549325,2.8999634469,2.9833596677,2.9082530007,2.812698515,3.1347506907,2.9887823999,3.1067172397,3.2422385902,3.0680437748,2.9365042184,3.0004147544,3.1495195769,3.0775246926,3.1669011793,2.9818588158,2.7652832579,3.082120437,3.1454102787,2.700172277,3.1540432089,2.8286125323,2.9754808564,3.0122864651,3.1433328736,3.0919257441,3.1328734725,3.1657624381,2.8414832036
11723976_at,ABCC8,3.3450982896,3.2228177764,3.5439309223,3.3885085855,3.3126371223,3.4230248864,3.5916329029,3.4827419658,3.5453891007,3.1967900302,3.1385063393,3.5029409836,3.2575580579,3.1818398755,3.3727406428,3.4116855261,3.3739235961,3.4013381087,3.4295979034,3.3655827824,3.5910107393,3.4118308811,3.2341857727,3.2439479066,3.5904405199,3.3004705609,3.5728654482,3.6000543081,3.3123968078,3.4740523709,3.3396560517,2.9386630456,3.6359229113,3.3086119073,3.6814119626,3.0975619523,3.4311877332,3.3939782979,3.4199054533,3.6486289834,3.5687593573,3.4530999429,3.6042974335,3.1471785654,3.3698280394,3.5015622284,3.6415307183,3.5802914117,3.117692254,3.4485983971,3.4613933466,3.376837454,3.4042727727,3.4960893187,3.3576522265,3.2094750981,3.3337420719,3.2727946153,3.7432640334,3.2817662902,3.1584350922,3.2017134897,3.3518448962,3.537230241,3.4706268294,3.3353697392,3.5311356898,3.2823995045,3.3684567739,3.6275861882,3.6978898346,3.1486035448,3.3251913312,3.5110708642,3.7360846428,3.1331584015,3.4180705526,3.4605231308,3.6121013406,3.3058229721,3.2946402003,3.2348736789,3.3824897152,3.3932885598,3.3855337908,3.2948629089,3.5332687006,3.1674448642,3.5282035472,3.2102496487,3.8889233442,3.4753008907,3.5056691334,3.3868890503,3.3620139546,3.4750199488
11718612_a_at,ABCD4,4.8062736467,5.0943704487,4.6667643019,4.9303944637,5.1263852951,4.9523201142,4.7496889489,4.7209349267,4.7410217475,4.5529314441,5.2578194476,4.9566565615,4.5024795242,4.7962431825,5.1582315259,4.6582582808,4.7133585011,4.6927192001,5.0406175679,5.289736338,5.1354647882,4.9412864635,5.2586616289,5.1457332367,4.625945821,4.8904025219,5.1954161662,4.7842279131,4.9855641862,4.9769905962,4.7372415513,4.7839269743,4.9693016154,5.3744844003,4.5228811818,4.7702601422,4.9132451902,4.9987219158,4.9471554779,4.9820111997,4.5983475941,4.9972166356,4.4372449733,5.0612330088,4.8998545532,4.680904623,4.9791016087,4.9640176342,4.373995789,5.0937255627,4.9206183011,4.7572829298,4.4659541606,4.9906099323,5.1060001208,4.8002617682,5.123923351,5.0753735125,4.6373838201,4.5905847441,4.9790674456,4.6902864489,4.7025587669,4.5439365253,4.882255776,5.2507603941,5.0292378391,4.8071825905,4.8838777412,4.6954777839,4.9048989719,5.1295347168,5.0479473641,4.7677197501,4.5132639215,4.8329060591,5.1585004867,4.9872132633,4.8254168899,4.709226728,5.0255042563,5.1611174695,4.8973898548,5.04100001,5.030071133,4.8998331946,4.5601714033,4.967260631,4.869730374,5.1414505237,4.6363519773,4.7397347325,4.917718273,4.5294858356,4.8305294585,5.0410927704
11758217_s_at,ABHD17C,7.7755778255,7.8622802722,7.6624550439,8.0212216917,8.0138669229,8.1535038015,8.1095639366,7.5981212611,7.9073822216,8.422688355,8.3799670551,7.9939137512,7.8415661057,8.0514497064,8.11387028,7.9914776881,7.7243448974,7.477748857,8.1314853876,8.3986067848,7.9648032778,8.5750247201,8.0719512353,8.3265679308,8.0395361932,7.9948333832,8.2696020181,8.5877649561,8.4325269568,8.4315453507,7.9146274399,8.0147676786,7.805325262,8.0508346601,7.9264150934,8.4423207749,7.5534922301,8.5703966443,7.9461740095,7.9099374598,8.1962959187,7.9919581032,7.792628666,8.0148290679,8.5095298348,7.7763463142,7.9914971365,7.9967777576,7.6796212812,8.4358685276,8.1641236389,8.1279000081,8.297945505,8.4029795551,8.0037899136,8.034706389,8.0483650057,8.0240451557,7.2642919468,7.8630119954,8.0321787864,7.5706665545,8.4061035356,7.4829324605,8.0780867361,8.0464892607,8.0306339233,7.9113056039,8.2010317538,7.6540741701,8.5025983851,7.9886094562,8.349619618,8.1734505645,7.3792726894,7.857391928,8.0990354717,8.3744217875,8.6516094399,7.7670247887,8.4623909105,8.1340966261,7.8909912657,8.0506121977,8.0552417078,8.0242188824,7.7593500499,7.9624132374,7.8674318966,8.0177516449,7.5436178004,7.8572023101,8.2418025254,7.7609764381,8.2425963905,8.5121117159
11744541_a_at,ACKR3,3.0739303858,2.5292154292,3.0450011879,2.4003500826,2.5445977182,2.2119434532,2.3960837315,2.7602186857,2.9094618607,2.9097744975,2.4428162752,2.4390699169,2.5639169579,2.2540127981,2.3146768164,3.0401143116,2.8963113222,2.4312619703,2.2501992805,2.4369019431,2.346991418,2.2122676241,2.3787065077,2.4105862023,3.0268853342,2.2818951566,2.6263716946,2.6573323897,2.4338581777,2.2628082847,2.5107872956,2.5381592782,2.6977892113,2.3741019853,2.9681972689,2.6629702294,2.8228878965,2.4460939586,2.4362427316,2.8946127314,2.4748975231,2.7086043697,2.5919239395,2.2226053718,2.4710816207,2.5456688609,1.7785829136,2.5274024161,2.7178013783,2.2805886212,2.6377529783,2.269289653,2.0353735757,2.318822386,2.6984074387,2.6678250189,2.6128595608,2.4885892062,2.6490316371,2.8714859476,2.4816206861,2.5019289463,2.3538115355,2.7275558325,2.5117643412,2.4990369315,2.7284764122,2.5423393887,2.5739073289,2.895973978,2.5471178688,2.6656486883,2.3792916015,2.7275718591,2.5763399932,2.8363052416,2.4164018411,2.5435265756,2.5815483878,2.8324658694,2.3425833632,2.3957675232,2.7119490648,2.4214091258,2.5037064836,2.5683138803,2.8107753773,2.4320082913,2.486153634,2.5196621657,2.8977566458,2.141093926,2.9186130289,3.2497068909,2.8712133148,2.5736207594
11730931_at,ACSS3,2.288024216,2.3977955461,2.2413223063,2.4651217775,2.0756454074,2.3323471526,2.0963726938,2.2088536079,2.1581019835,2.3189721414,2.3595090757,2.1460547143,2.3112612748,2.0171162791,2.0181613529,2.4220438853,2.040276928,2.0748790162,1.9145564853,2.0092846792,2.4471451597,2.0304066576,2.0723841928,2.2553658968,2.4447564597,2.2847663662,2.2484869207,2.2986317957,2.4014813765,1.9174301249,2.0816571232,2.0228402079,2.1611070665,2.2403408502,2.3426249463,2.2081513487,2.2691005925,2.3040134678,2.5702904226,2.4190060217,2.5207165826,2.6667276768,2.6629539815,2.1867513199,2.2739505372,2.25471738,2.0820884071,2.5029192406,2.1407545553,2.4185419502,2.6633726023,2.3255632575,2.2923285837,2.1854422421,2.4353204618,2.2095220758,2.367870745,2.2471883523,2.7050989108,2.167558011,2.2766671329,2.0906310822,2.2983966369,2.2709991849,2.2453626531,2.5433767091,2.2870646419,2.4410385585,2.5252044686,2.4476442096,1.9850520982,2.3742408839,2.3418156551,2.3407025579,2.3229520358,2.3525713589,2.0498455708,2.3097469499,2.253805546,2.2182453374,2.4482093427,2.3043265662,2.3466647004,2.3559930736,2.4782414259,2.4644546774,2.5005494361,2.1605681019,2.1326507404,2.277672089,2.4103735128,2.4798254877,2.3909724168,2.2135939056,2.4611953796,2.4151502077
11738454_at,ACTBL2,2.4278672687,2.5112742067,2.4010443504,2.7010919158,2.3765199652,2.6542789959,2.780681047,2.8291407541,2.7804152999,2.7688927437,2.5270398496,2.560099471,2.0515507238,2.403270598,2.3585787132,2.43353732,2.5626420638,2.7443020223,2.5335836146,2.5940135337,2.8959110246,2.5446922005,2.3141437113,2.7995129528,2.312117047,2.3028770676,2.4847767271,2.664441275,2.6865924848,2.4458345241,2.5403934763,2.2830976872,2.4991384871,2.2913836917,2.4094487068,2.4663138621,2.3111433903,2.2656248012,2.2426003742,2.444420282,2.3834766819,2.5239890931,2.5881410918,2.8731669035,2.3980899859,2.7623165233,2.7779769126,2.4239403321,2.4218747353,2.4320897919,2.3699751814,2.455323867,2.652705894,2.3580524398,2.3499364071,2.3136818033,2.3754446075,2.2896959571,2.3815208742,2.5200409714,2.5130778648,2.4054523093,2.3037056325,2.4967930645,2.2851618078,2.4257463073,2.2553497192,2.4925106995,2.4886080446,2.5754125829,2.5371032106,2.536660411,2.4252243761,2.7540608345,2.356455548,2.4500916452,2.4625557495,2.253630342,2.4593646472,2.4264346436,2.3539596981,2.6016548289,2.6214481204,2.5062194969,2.4595352854,2.3771341863,2.4593450695,2.6099378499,2.7266508669,2.3054905869,2.997766974,2.2509904415,2.6772713918,2.6975006425,2.4634681521,2.6120780114
11727682_at,ACVR2B,3.5219546693,3.5058514823,3.0726087643,3.7485283836,4.0591888534,3.5195048573,3.503784437,3.3092133237,3.585148458,3.6451439638,3.8271265738,3.5055319421,3.1906016675,3.5409529337,3.8985896918,3.4543920745,3.1492322584,3.1594186101,3.6002873269,3.9782032106,3.9022404206,3.6113080369,3.7368393975,3.677923185,3.5309242996,3.7150056605,3.7599635272,3.3623360517,3.8134923738,3.6345167294,3.6351507807,3.7459379548,3.2815929414,3.7599188089,3.5692404834,3.7027212617,3.3073466966,3.69565691,4.1972657374,3.6048847787,3.6898819337,3.7466307634,3.7049129751,3.7445454263,3.4313600972,3.7761002594,3.4923301728,4.0215667802,3.2965415597,3.3882886253,3.8478451531,3.6666447624,3.484716369,3.585788852,3.9444728102,3.7187517504,3.833925866,4.1093434453,3.0876171549,3.4111377218,3.3969938201,3.2996660237,3.4822744848,3.6774413416,3.8627498416,3.5314969228,3.8055520464,3.9693061685,3.6050772261,3.3280238313,3.7084320142,3.7014743146,3.7672575916,3.8461275058,3.4646933899,3.2896293113,3.7305208131,3.3486297158,3.6677435421,3.269173764,3.4759429523,3.6634892602,3.6163440876,3.5539331712,3.9589229346,4.0866710809,3.1956775114,3.5171628887,3.6552226531,3.7864400709,3.3114810897,3.8618813697,4.0480383445,3.4836984132,3.6892177459,3.5308425223
