Interactie	Interactors	MI
A1CF	ABCA5	0.08558538
A1CF	ABCB8	0.06253153
A1CF	ABHD17C	0.09838815
A1CF	ACVR2B	0.08444491
A1CF	ADM	0.07344810000000002
A1CF	AKAP12	0.08082676
A1CF	AMOTL2	0.06356919
A1CF	AMT	0.08020069
A1CF	AMT	0.06345985
A1CF	APBB2	0.12521901
A1CF	APOL3	0.07379284
A1CF	APPL1	0.06981541
A1CF	ATN1	0.05929527
A1CF	BACE1	0.09668478
A1CF	BCL7A	0.09938914
A1CF	BTG2	0.06400648
A1CF	CAMK2A	0.11133074
A1CF	CBX6	0.11643042
A1CF	CD28	0.09572588
A1CF	CDC20B	0.08094507
A1CF	CMTM4	0.10724636
A1CF	COL3A1	0.06197461
A1CF	COL7A1	0.10998892
A1CF	COLCA1	0.05872947
A1CF	CTXN1	0.06906901
A1CF	CX3CL1	0.08387523
A1CF	CXCR1	0.12016891
A1CF	CYFIP2	0.08266517
A1CF	DACT1	0.08227925
A1CF	DCDC2	0.06040148
A1CF	DSCC1	0.06432909
A1CF	DUSP2	0.07802384
A1CF	DUSP3	0.06950096
A1CF	DUSP6	0.08140866
A1CF	EDAR	0.06922724
A1CF	ENPP3	0.06371339
A1CF	EPAS1	0.07568810000000001
A1CF	EQTN	0.08942454
A1CF	ERBB3	0.06421036
A1CF	F3	0.09817003
A1CF	FAM161B	0.08312515
A1CF	FAM170A	0.06186743
A1CF	FER	0.08728213
A1CF	FZD7	0.08010977
A1CF	GCNT1	0.06479591
A1CF	GLUD1	0.08526857
A1CF	HES1	0.06928986
A1CF	HES1	0.06415459
A1CF	HIVEP3	0.09719552
A1CF	HLA-G	0.06958832
A1CF	HOXC6	0.08412879
A1CF	HYOU1	0.07061984
A1CF	ICAM4	0.09927597
A1CF	ID1	0.06333541
A1CF	IP6K1	0.07990088
A1CF	IPPK	0.07244793
A1CF	KCTD15	0.06197422
A1CF	KIAA0930	0.08006459
A1CF	KIFC3	0.07354023
A1CF	KLF11	0.06306577
A1CF	KLHL26	0.06790313
A1CF	KRTAP12-2	0.07761432
A1CF	LCMT2	0.07511402
A1CF	LIF	0.08503976
A1CF	MAFG	0.06239722
A1CF	MYO10	0.06394847
A1CF	NAIP	0.09123856
A1CF	NIPAL4	0.07994793
A1CF	NIPAL4	0.07507513
A1CF	NNT	0.06959096
A1CF	NUDT6	0.10062652
A1CF	P2RX2	0.07756017
A1CF	PDK1	0.06192029
A1CF	PMEPA1	0.05922812
A1CF	PMM2	0.08644416
A1CF	PRICKLE2	0.07040653
A1CF	PSPC1	0.07924608
A1CF	PXDC1	0.07885245
A1CF	RAB3A	0.08251622
A1CF	RCHY1	0.06349561
A1CF	RESP18	0.0860087
A1CF	RNF34	0.07773805
A1CF	RRNAD1	0.12391993
A1CF	SAV1	0.11368275
A1CF	SCARA5	0.06278004
A1CF	SERPINE1	0.0891822
A1CF	SH3GLB2	0.07598329
A1CF	SHPRH	0.07306155
A1CF	SHTN1	0.0846033
A1CF	SIX1	0.06482972
A1CF	SLC34A1	0.07093233
A1CF	SMCO4	0.08315366
A1CF	SMYD4	0.08168042
A1CF	SNAPC4	0.07845459
A1CF	SORBS1	0.12525434
A1CF	SPEN	0.07688071
A1CF	SRBD1	0.07750211
A1CF	SRC	0.0589999
A1CF	STAG3	0.06530283
A1CF	SUSD6	0.06302336
A1CF	SYP	0.09913638
A1CF	TACC2	0.06400457
A1CF	TCN2	0.06151659
A1CF	TLR4	0.07873489
A1CF	TMEM170B	0.14113605
A1CF	TMEM2	0.06294222
A1CF	TPD52	0.07639911
A1CF	TPD52	0.07054978
A1CF	TPP1	0.07845451
A1CF	TRIM10	0.07256294
A1CF	TRPS1	0.101876
A1CF	TSC22D1	0.07723678
A1CF	TUBGCP3	0.06287869
A1CF	TXNIP	0.08912931
A1CF	VSTM1	0.14730208
A1CF	WBSCR17	0.09547971
A1CF	WIZ	0.07755089999999999
A1CF	XPO1	0.10067172
A1CF	ZFPM1	0.06010467
A1CF	ZFYVE27	0.08557654
A1CF	ZNF181	0.08182772
A1CF	ZNF260	0.06030499
A1CF	ZNF33A	0.07451012
