Row,chisq,chisq_rank,Number_est_params,aicRSS,aic_rank,delta_i,relative_likelihood,weights
demonstration_0,0.206546129802586,13,5,-1748.23580782284,13,5753.12778978924,0,0
demonstration_1,0.140629443053,9,5,-1843.56586921141,9,5657.79772840066,0,0
demonstration_10,0.136833882370492,5,7,-1846.13259370812,6,5655.23100390396,0,0
demonstration_11,0.104351894690894,3,7,-1913.34031154206,3,5588.02328607002,0,0
demonstration_12,1.70932332261245e-11,1,7,-7501.36359761208,1,0,1,1
demonstration_13,0.137024231038032,7,8,-1843.65199856454,8,5657.71159904754,0,0
demonstration_14,2.28939964044792e-09,2,8,-6284.68192102342,2,1216.68167658866,6.32311109618581e-265,6.32311109618581e-265
demonstration_2,0.425323028700992,15,5,-1569.09916530991,15,5932.26443230217,0,0
demonstration_3,0.178717665376121,11,6,-1782.02488701049,11,5719.33871060158,0,0
demonstration_4,0.307767162580959,14,6,-1647.22789472122,14,5854.13570289086,0,0
demonstration_5,0.13690315766141,6,6,-1848.12518874164,5,5653.23840887044,0,0
demonstration_6,0.105470154774348,4,6,-1912.81494161812,4,5588.54865599396,0,0
demonstration_7,0.140640745160102,10,6,-1841.4453249147,10,5659.91827269738,0,0
demonstration_8,0.178730630344259,12,7,-1779.88877769977,12,5721.47481991231,0,0
demonstration_9,0.137078595322559,8,7,-1845.68946801505,7,5655.67412959703,0,0
