Row,chisq,chisq_rank,Number_est_params,aicRSS,aic_rank,delta_i,relative_likelihood,weights
demonstration_0,0.245601594820015,14,5,-1705.28545327714,14,5439.35717350181,0,0
demonstration_1,0.138427415446383,8,5,-1847.47986856328,6,5297.16275821568,0,0
demonstration_10,0.149704397314078,11,7,-1823.83863060773,11,5320.80399617122,0,0
demonstration_11,0.113449421622873,4,7,-1892.61040751276,4,5252.03221926619,0,0
demonstration_12,7.20293502882814e-11,1,7,-7144.64262677895,1,0,1,1
demonstration_13,0.137077545793008,7,8,-1843.55552301773,8,5301.08710376123,0,0
demonstration_14,6.2827260541261e-08,2,8,-5463.28125819545,2,1681.36136858351,0,0
demonstration_2,0.146596034970094,10,5,-1833.26088021267,10,5311.38174656629,0,0
demonstration_3,0.178720420022521,13,6,-1782.02106451739,12,5362.62156226156,0,0
demonstration_4,0.303291879720892,15,6,-1650.86057149035,15,5493.78205528861,0,0
demonstration_5,0.136958116199114,5,6,-1848.02565135658,5,5296.61697542237,0,0
demonstration_6,0.104400461392302,3,6,-1915.34303498214,3,5229.29959179682,0,0
demonstration_7,0.140635305056636,9,6,-1841.45491795086,9,5303.1877088281,0,0
demonstration_8,0.178717523204591,12,7,-1779.90696534801,13,5364.73566143095,0,0
demonstration_9,0.1370427559546,6,7,-1845.7543163989,7,5298.88831038006,0,0
