Parameters,Initial_value,Lower_bound,Upper_bound,Estimation_setting,Variable_type
Ka,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
TGFb,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
Kd,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
Ki,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
Synth,1.00E+00,1.00E-06,10000,Fixed,Kinetic_parameter
Kr,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
R1_I,2.71E+03,1.00E-06,10000,Fixed,Kinetic_parameter
PR1,1.00E-01,1.00E-06,10000,Independent,Kinetic_parameter
PR2,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
alpha,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
Kcd,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
Sink,0.00E+00,1.00E-06,10000,Fixed,Kinetic_parameter
Klid,1.00E-01,1.00E-06,10000,Estimated,Kinetic_parameter
R1,2.71E+02,1,10000,Fixed,Species_IC
R2,1.27E+02,1,10000,Fixed,Species_IC
R1_I,2.71E+03,1,10000,Fixed,Species_IC
R2_I,1.27E+03,1,10000,Fixed,Species_IC
LR1R2,1.69E+00,1,10000,Fixed,Species_IC
LR1R2_I,1.69E+01,1,10000,Fixed,Species_IC
