Row	Column	Assay	Sample	Conc	Ct	Norm init	Norm final	Norm range	R2	Chi2	Straight R2	Efficiency	Outlier	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Ct minus mean
0	0	ABL1	Tgfb_48_4	-1	24.77901	787.4918	753.3607	-34.13116	0.9995285	203458.8		1.834889	False											7	2537.747	19.06013	25.76005	13386.57	0.2389038	5.274981	
0	1	ACTB	Tgfb_48_4	-1	19.98746	813.8688	750.7049	-63.16394	0.9997196	142795.2		1.64118	False											20	2439.456	12.03327	22.32809	11357.53	0.6698013	4.655762	
0	2	CDC42	Tgfb_48_4	-1	23.73094	831.3279	769.2131	-62.11475	0.9998212	63927.24		1.671394	False											17	1589.689	15.11558	25.3956	10238.35	0.418612	6.440477	
0	3	CDKN2A	Tgfb_48_4	-1	27.23934	749.7869	691.5246	-58.26227	0.9997494	116281.1		1.767687	False											15	2462.65	19.54882	28.47379	13894.21	0.3351025	5.641973	
0	4	NFKB2	Tgfb_48_4	-1	27.76533	766.6885	726.1803	-40.50824	0.9998293	163675.1		1.66217	False											17	2910.965	17.47086	29.7088	17953.44	0.6044776	6.167522	
0	5	EP300	Tgfb_48_4	-1	26.27909	801.2459	733.5738	-67.67212	0.9997727	103919.9		1.637475	False											8	2495.844	16.05318	28.14565	12818.46	0.503601	5.135924	
0	6	PIK3CA	Tgfb_48_4	-1	26.65005	769.1475	696.0328	-73.11475	0.9995902	259038.7		1.808866	False											13	2713.462	19.66226	28.2505	13705.83	0.5909879	5.051049	
0	7	PPIA	Tgfb_48_4	-1	21.82219	786.3934	716.2787	-70.11475	0.9996231	395629.3		1.840817	False											10	2017.541	16.74224	22.90421	16904.56	0.2668597	8.378793	
0	8	SMURF1	Tgfb_48_4	-1	26.86746	792.5574	743.6721	-48.88525	0.9997361	64996.26		1.640064	False											12	1889.155	16.40307	28.94424	9219.623	0.6328516	4.880288	
0	9	FLI1	Tgfb_48_4	-1	28.2727	828.6066	765.0984	-63.50818	0.9998459	52357.75		1.691064	False											14	2165.816	18.93632	29.22256	17802.29	0.1647085	8.219669	
0	10	FOS	Tgfb_48_4	-1	28.88681	790.6721	733.6229	-57.04919	0.9996648	115350.6		1.658098	False											13	2498.01	18.45684	30.11633	15791.79	0.2541408	6.321746	
0	11	HSP90AB1	Tgfb_48_4	-1	22.04602	846.9344	774.2951	-72.63934	0.9998062	126790.4		1.740904	False											18	2217.455	15.30676	23.26009	14806.08	0.2575254	6.67706	
0	12	IKBKG	Tgfb_48_4	-1	26.54669	822.0492	749.6721	-72.37708	0.9997666	128422.6		1.654449	False											11	2606.738	16.87348	27.7203	18512.85	0.2127107	7.101923	
0	13	RARA	Tgfb_48_4	-1	27.14132	837.2623	775.6393	-61.62292	0.9999031	20373.14		1.593919	False											13	1807.827	15.80264	28.7257	10638.5	0.3208926	5.88469	
0	14	RARG	Tgfb_48_4	-1	26.75359	835.459	777.5738	-57.88525	0.9994167	322729.2		1.835066	False											18	2620.283	20.59368	27.77627	15296.58	0.2728091	5.837758	
0	15	ROCK2	Tgfb_48_4	-1	25.94325	816.7869	772.2951	-44.49176	0.9998158	108125.7		1.724829	False											16	2598.913	17.5741	27.61985	13544.66	0.5219688	5.211665	
0	16	RXRA	Tgfb_48_4	-1	26.15927	823.1803	762.3279	-60.85242	0.9998223	67965.42		1.704829	False											10	2174.238	17.71311	27.15876	15832.47	0.1782974	7.28185	
0	17	TGFBR2	Tgfb_48_4	-1	25.06333	829.5574	770.6229	-58.93445	0.9998368	122682.9		1.675568	False											10	2248.294	15.86895	27.32412	13689.1	0.8022081	6.088659	
0	18	CYP26A1	Tgfb_48_4	-1	31.16234	845.459	785.0656	-60.39349	0.9997846	23952.08		1.496163	False											4	2120.33	15.64985	33.06567	11739.62	0.3437944	5.536695	
0	19	EEA1	Tgfb_48_4	-1	25.06955	842.7541	794.2295	-48.5246	0.9992895	273557.9		1.990531	False											11	2584.728	21.97174	25.92497	12019.14	0.2567879	4.65006	
