Row	Column	Assay	Sample	Conc	Ct	Norm init	Norm final	Norm range	R2	Chi2	Straight R2	Efficiency	Outlier	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Ct minus mean
0	0	NID1	Tgfb_48_4	-1	23.53832	785.6393	750.1803	-35.45905	0.9998124	63503.93		1.682813	FALSE											12	1669.503	15.05411	25.59764	9263.731	0.6575954	5.548798	
0	1	COL7A1	Tgfb_48_4	-1	22.5057	756.2951	698.9344	-57.36066	0.9996457	97983.89		1.678114	FALSE											5	1562.585	14.53907	23.86155	10020.13	0.2688765	6.412533	
0	2	COL1A2	Tgfb_48_4	-1	20.15094	744.6066	704.2459	-40.36066	0.9995129	187714.2		1.563301	FALSE											2	1808.68	10.85477	23.01175	9703.341	0.7630702	5.364873	
0	3	SERPINE1	Tgfb_48_4	-1	19.54442	817.0492	773.2295	-43.8197	0.9996893	119407.7		1.597195	FALSE											12	1341.818	11.03398	22.32835	9043.824	0.8068251	6.739977	
0	4	ELN	Tgfb_48_4	-1	24.33062	790.5574	738.0656	-52.49182	0.9996875	183395.5		1.601041	FALSE											6	2033.31	14.14343	26.22085	13704.76	0.4329905	6.740125	
0	5	HAS2	Tgfb_48_4	-1	28.33441	801	762.3442	-38.65576	0.9996108	145462.1		1.679432	FALSE											7	2167.066	18.12686	30.46737	11276.8	0.7666045	5.203718	
0	6	MMP9	Tgfb_48_4	-1	29.52479	809.7705	765.4099	-44.36066	0.9993416	89834.05		1.614475	FALSE											10	1963.907	17.99115	30.58082	14002.91	0.161133	7.130129	
0	9	MMP14	Tgfb_48_4	-1	22.51665	796.8525	744.6393	-52.21313	0.9995392	277917.7		1.736765	FALSE											8	1373.53	15.3835	24.17231	11632.52	0.4841891	8.469069	
0	10	SMAD2	Tgfb_48_4	-1	25.55499	804.1639	750.3934	-53.77051	0.9996362	185017.4		1.680669	FALSE											3	1880.945	16.35065	27.6027	11637.42	0.676113	6.187008	
0	11	SMAD6	Tgfb_48_4												CurveFitFailed																
0	12	GREM1	Tgfb_48_4	-1	28.95459	877.2623	808.7705	-68.49176	0.997952	67909.05		1.639934	FALSE											6	1684.771	18.34218	29.81074	8862.604	0.1080778	5.26042	
0	13	JUN	Tgfb_48_4	-1	24.77503	805.5738	741.4754	-64.09839	0.9998041	89512.44		1.613577	FALSE											2	2122.63	14.42796	27.53122	10941.43	0.981638	5.15466	
0	14	MMP1	Tgfb_48_4	-1	26.13287	853.5246	791.6558	-61.86884	0.9998285	63991.85		1.581807	FALSE											10	2121.988	14.58171	29.05236	10476.77	1.018525	4.937245	
0	15	FBN1	Tgfb_48_4	-1	22.57903	891.1967	826.459	-64.73767	0.9996066	128530.8		1.655277	FALSE											9	1736.871	14.00794	24.48722	9498.563	0.5047967	5.468779	
0	18	ITGA1	Tgfb_48_4	-1	24.98765	858.8033	812.459	-46.34424	0.9995446	64382.48		1.708557	FALSE											10	2033.453	16.22512	28.05229	6625.019	1.661196	3.258013	
0	19	BGN	Tgfb_48_4	-1	22.32666	836.6229	785.8033	-50.81964	0.9998287	79597.09		1.700561	FALSE											13	2274.447	14.49938	24.53277	10764.71	0.7710321	4.732891	
0	20	THBS2	Tgfb_48_4	-1	24.43409	822.0656	786.3115	-35.75409	0.9997764	33342.15		1.523159	FALSE											10	1810.339	12.47509	27.39866	7181.36	0.8013279	3.96686	
0	21	VIM	Tgfb_48_4	-1	19.10654	849.0164	808.6721	-40.3443	0.9997376	71437.05		1.792967	FALSE											5	1817.628	13.72853	20.7478	8279.302	0.4944479	4.555004	
0	22	FBLN1	Tgfb_48_4	-1	20.72815	810.5082	764.7377	-45.77045	0.999849	66015.18		1.612096	FALSE											11	1731.286	12.00159	23.29862	10030.68	0.7544485	5.793775	
0	23	CTGF	Tgfb_48_4	-1	20.02253	803.459	771.5574	-31.90167	0.99924	259363.6		1.720552	FALSE											7	1515.659	13.30118	21.97648	8711.92	0.5960166	5.747941	
0	27	VEGFA	Tgfb_48_4	-1	25.09444	787.1147	751.3115	-35.80328	0.9998445	75499.14		1.693027	FALSE											9	2193.505	16.07506	27.88023	10910.61	1.295224	4.974055	
0	28	MMP3	Tgfb_48_4	-1	24.86044	758.5901	722.5574	-36.03278	0.9995766	95116.49		1.767568	FALSE											10	1776.419	17.75344	26.16172	8853.752	0.350147	4.984044	
0	29	GAPDH	Tgfb_48_4	-1	20.94811	734.6558	702.1475	-32.50824	0.9996156	162556.8		1.723465	FALSE											8	1848.465	13.98553	22.89246	9938.511	0.6135806	5.37663	
0	30	COL1A1	Tgfb_48_4	-1	18.29252	739.2951	701.9836	-37.31152	0.9997131	205380		1.729579	FALSE											11	1877.24	12.26524	20.09198	12582.27	0.4814393	6.702536	
0	31	IL6R	Tgfb_48_4	-1	30.10041	758.7213	723.1147	-35.60657	0.9988633	158783.5		1.670345	FALSE											8	1938.19	18.94416	32.6675	7665.092	1.106534	3.954768	
0	32	B2M	Tgfb_48_4	-1	21.09412	784.9344	759.1475	-25.78693	0.9998326	74505.98		1.655462	FALSE											6	1670.791	12.96164	23.38087	10042.41	0.6967086	6.010571	
0	36	SMAD3	Tgfb_48_4	-1	25.95706	786.5901	752.5082	-34.08197	0.9996698	128410		1.661794	FALSE											9	1820.907	16.23428	28.07684	10513.39	0.6906794	5.773708	
0	37	LAMA1	Tgfb_48_4	-1	27.22826	760.9508	717.3115	-43.63934	0.9998047	40524.21		1.56577	FALSE											3	1536.407	14.79947	30.5789	7859.383	1.3104	5.115431	
0	38	MMP15	Tgfb_48_4	-1	30.9567	774.9016	736.7541	-38.14752	0.999709	31116.06		1.563542	FALSE											3	1537.141	17.35383	32.55347	10283.57	0.3200356	6.69006	
0	39	ITGA2	Tgfb_48_4	-1	25.94311	758.3442	711.8033	-46.54095	0.9998052	62574.57		1.719886	FALSE											7	1488.933	17.58883	27.39306	10234.95	0.3903869	6.874018	
0	40	FN1	Tgfb_48_4	-1	17.61028	772.3279	724.9836	-47.3443	0.9998915	34128.38		1.594543	FALSE											6	1295.555	9.889315	20.16714	8472.604	0.6032053	6.539747	
0	41	PTGER3	Tgfb_48_4	-1	31.85589	758.5082	714.0656	-44.44263	0.9987603	183618.4		1.771801	FALSE											8	1512.425	22.83237	33.39389	9033.854	0.5450357	5.973093	
0	42	PPIA	Tgfb_48_4	-1	21.80601	797.6885	748.6066	-49.08197	0.9997557	85014.26		1.768787	FALSE											12	1373.148	15.36643	23.4755	8865.148	0.5250718	6.456076	
0	45	DCN	Tgfb_48_4	-1	21.30797	778.2295	736.0984	-42.1311	0.9989547	401765		1.754677	FALSE											10	1657.644	14.53533	23.91663	8862.249	1.234966	5.346293	
0	46	LAMC1	Tgfb_48_4	-1	22.11512	770.082	735.5738	-34.50818	0.9997077	134117.7		1.761734	FALSE											9	1786.133	15.53046	23.66501	10694.05	0.4492416	5.987264	
0	47	ACTB	Tgfb_48_4	-1	20.06628	789.8688	753.7213	-36.14752	0.9992679	268570.9		1.641311	FALSE											18	1835.796	12.02607	22.72326	9152.038	0.877208	4.985325	
0	48	COL5A1	Tgfb_48_4	-1	24.56451	737.3607	699.5082	-37.85248	0.999869	37700.35		1.618328	FALSE											4	1351.273	14.55495	26.63395	8952.502	0.5560251	6.625236	
0	49	TIMP1	Tgfb_48_4	-1	19.60208	744.3115	712.459	-31.85242	0.9996888	141640.6		1.714397	FALSE											10	1865.562	12.85665	21.83805	9968.95	0.7609606	5.343672	
0	50	COL4A1	Tgfb_48_4	-1	22.4688	753.3934	724.9672	-28.42621	0.9994142	179616.4		1.566339	FALSE											10	1126.317	12.26977	25.00127	8591.534	0.6507264	7.627991	
0	51	LOXL2	Tgfb_48_4	-1	23.31039	761.7049	728.6066	-33.09833	0.9997484	81342.23		1.830014	FALSE											2	1337.368	17.70149	24.46942	9514.893	0.312876	7.114639	
0	54	MMP19	Tgfb_48_4	-1	26.55869	767.8361	744.9344	-22.90161	0.9997926	64386.2		1.612059	FALSE											8	1740.429	15.58244	28.86185	9809.69	0.7054065	5.636364	
0	55	LAMA3	Tgfb_48_4	-1	28.83054	765.7705	736.1312	-29.63934	0.9995569	116801.8		1.709063	FALSE											16	1904.111	19.01665	31.10604	9352.867	0.9489049	4.911934	
0	56	THBS1	Tgfb_48_4	-1	19.08533	753.2623	720.7213	-32.54095	0.9999024	43640.16		1.692331	FALSE											19	1952.182	12.22139	21.23741	10188.2	0.6441001	5.218879	
0	57	SMAD7	Tgfb_48_4	-1	25.90125	724.7541	694.3607	-30.39343	0.9998479	45050.92		1.636765	FALSE											14	1575.536	15.84015	27.66039	10053.33	0.4434935	6.380894	
0	58	COL3A1	Tgfb_48_4	-1	20.97417	765	724.0492	-40.95081	0.9997135	51564.93		1.804235	FALSE											17	1072.97	15.19338	22.86828	6157.517	0.7196407	5.738761	
0	59	LOXL1	Tgfb_48_4	-1	20.718	766.0164	728.2131	-37.80328	0.9985038	181426		2.334076	FALSE											8	1277.296	22.68575	21.1985	6825.601	0.1268167	5.343791	
0	60	VCAN	Tgfb_48_4	-1	23.89936	755.7541	716.5901	-39.16394	0.9996995	94921.38		1.698477	FALSE											14	1483.503	15.37597	26.70491	8337.063	1.305084	5.619848	
0	63	SMAD4	Tgfb_48_4	-1	24.92791	756.9016	748.1803	-8.721313	0.9996228	147409.5		1.812306	FALSE											17	1991.905	18.59292	26.2026	10992.86	0.375761	5.518769	
0	64	SPARC	Tgfb_48_4	-1	19.6195	735.1967	701.4918	-33.7049	0.9997543	60323.6		1.755969	FALSE											10	1674.766	13.59089	21.31116	7907.495	0.4846262	4.721552	
0	65	TGFB1	Tgfb_48_4	-1	24.62839	735.7049	704.2295	-31.4754	0.999684	97142.65		1.611955	FALSE											6	1417.517	14.38861	27.02553	8942.527	0.7318196	6.308584	
0	66	ITGA6	Tgfb_48_4	-1	29.65885	743.5246	707.0328	-36.49182	0.9998034	40100.09		1.571728	FALSE											11	1736.956	16.32851	32.84478	8759.56	1.254279	5.043053	
0	67	FGFR3	Tgfb_48_4												CurveFitFailed																
0	68	MMP2	Tgfb_48_4	-1	20.72106	744.541	707.1147	-37.42621	0.9998106	108343.6		1.66035	FALSE											12	1770.452	12.77969	23.09338	11092.55	0.7545032	6.265378	
0	69	TIMP2	Tgfb_48_4	-1	20.12581	711.918	703.8853	-8.032776	0.999754	76299.99		1.813134	FALSE											18	1625.641	14.93952	21.35517	9305.215	0.3010784	5.724028	
1	0	NID1	Tgfb_18_5	-1	23.78547	747.4099	693.1312	-54.27869	0.9998237	60907.51		1.679032	FALSE											12	1625.281	15.10785	25.99793	9180.894	0.7548364	5.648804	
1	1	COL7A1	Tgfb_18_5	-1	22.81442	784.1639	739.9672	-44.19672	0.9997082	83560.68		1.703884	FALSE											9	1599.414	15.25577	24.00842	10753.11	0.2271515	6.723155	
1	2	COL1A2	Tgfb_18_5	-1	20.7959	816.9836	778.459	-38.52454	0.9994197	197621.9		1.607584	FALSE											10	1822.161	12.02726	23.07742	9462.055	0.5790809	5.192765	
1	3	SERPINE1	Tgfb_18_5	-1	19.78102	837.6721	793.918	-43.75409	0.9998202	62851.08		1.632344	FALSE											11	1328.567	11.74845	22.25464	8672.376	0.7232347	6.527615	
1	4	ELN	Tgfb_18_5	-1	26.50038	792.5901	741.8853	-50.7049	0.9997571	131331.3		1.600725	FALSE											8	2081.459	15.45794	28.35154	14154.12	0.4407091	6.800096	
1	5	HAS2	Tgfb_18_5	-1	29.16464	810.9508	760.7377	-50.21307	0.9997986	69539.17		1.656547	FALSE											6	2139.224	18.09753	31.55968	11076.86	0.9137942	5.177979	
1	6	MMP9	Tgfb_18_5	-1	29.61422	814.459	773.1475	-41.31152	0.9994829	76756.02		1.595635	FALSE											11	1968.17	17.59962	30.68167	15449.18	0.1524659	7.849513	
1	9	MMP14	Tgfb_18_5	-1	22.86101	826.918	780.0492	-46.86884	0.9995071	264252.7		1.706881	FALSE											5	1328.438	15.08428	24.6659	10999.17	0.5333006	8.279783	
1	10	SMAD2	Tgfb_18_5	-1	25.56699	825.541	764.2787	-61.26227	0.9998277	75212.88		1.670789	FALSE											3	1797.343	16.10976	27.82463	10630.52	0.7969937	5.914574	
1	11	SMAD6	Tgfb_18_5	-1	29.3184	870.6393	835.5738	-35.06555	0.9981745	94165.06		1.756342	FALSE											6	2023.774	20.23936	31.83007	5193.043	1.314393	2.566019	
